a433-microservices-item-db-1  | 2023-11-24T16:48:11.413+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=1dedafcab33f
a433-microservices-item-db-1   | 2023-11-24T16:48:11.414+0000 I CONTROL  [initandlisten] db version v3.6.23
a433-microservices-item-db-1   | 2023-11-24T16:48:11.414+0000 I CONTROL  [initandlisten] git version: d352e6a4764659e0d0350ce77279de3c1f243e5c
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | > docker-software-delivery@1.0.0 start /app
a433-microservices-item-app-1  | > node ./bin/www
a433-microservices-item-app-1  | 
a433-microservices-item-db-1   | 2023-11-24T16:48:11.414+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
a433-microservices-item-db-1   | 2023-11-24T16:48:11.414+0000 I CONTROL  [initandlisten] allocator: tcmalloc
a433-microservices-item-db-1   | 2023-11-24T16:48:11.414+0000 I CONTROL  [initandlisten] modules: none
a433-microservices-item-db-1   | 2023-11-24T16:48:11.414+0000 I CONTROL  [initandlisten] build environment:
a433-microservices-item-db-1   | 2023-11-24T16:48:11.414+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
a433-microservices-item-db-1   | 2023-11-24T16:48:11.414+0000 I CONTROL  [initandlisten]     distarch: x86_64
a433-microservices-item-db-1   | 2023-11-24T16:48:11.414+0000 I CONTROL  [initandlisten]     target_arch: x86_64
a433-microservices-item-db-1   | 2023-11-24T16:48:11.414+0000 I CONTROL  [initandlisten] options: { net: { bindIpAll: true } }
a433-microservices-item-app-1  | NODE_ENV: production
a433-microservices-item-app-1  | Connected to database
a433-microservices-item-db-1   | 2023-11-24T16:48:11.436+0000 I -        [initandlisten] Detected data files in /data/db created by the 'wiredTiger' storage engine, so setting the active storage engine to 'wiredTiger'.
a433-microservices-item-db-1   | 2023-11-24T16:48:11.436+0000 I STORAGE  [initandlisten] 
a433-microservices-item-db-1   | 2023-11-24T16:48:11.436+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
a433-microservices-item-db-1   | 2023-11-24T16:48:11.436+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
a433-microservices-item-db-1   | 2023-11-24T16:48:11.437+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=2314M,cache_overflow=(file_max=0M),session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
a433-microservices-item-db-1   | 2023-11-24T16:48:27.425+0000 I STORAGE  [initandlisten] WiredTiger message [1700844507:425852][1:0x7fa12adefa40], txn-recover: Main recovery loop: starting at 3/6016
a433-microservices-item-db-1   | 2023-11-24T16:48:29.581+0000 I STORAGE  [initandlisten] WiredTiger message [1700844509:581020][1:0x7fa12adefa40], txn-recover: Recovering log 3 through 4
a433-microservices-item-db-1   | 2023-11-24T16:48:30.704+0000 I STORAGE  [initandlisten] WiredTiger message [1700844510:704793][1:0x7fa12adefa40], txn-recover: Recovering log 4 through 4
a433-microservices-item-db-1   | 2023-11-24T16:48:31.674+0000 I STORAGE  [initandlisten] WiredTiger message [1700844511:674940][1:0x7fa12adefa40], txn-recover: Set global recovery timestamp: 0
a433-microservices-item-db-1   | 2023-11-24T16:48:31.941+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1   | 2023-11-24T16:48:31.942+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
a433-microservices-item-db-1   | 2023-11-24T16:48:31.943+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
a433-microservices-item-db-1   | 2023-11-24T16:48:31.943+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1   | 2023-11-24T16:48:31.945+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1   | 2023-11-24T16:48:31.945+0000 I CONTROL  [initandlisten] ** WARNING: /sys/kernel/mm/transparent_hugepage/enabled is 'always'.
a433-microservices-item-db-1   | 2023-11-24T16:48:31.946+0000 I CONTROL  [initandlisten] **        We suggest setting it to 'never'
a433-microservices-item-db-1   | 2023-11-24T16:48:31.948+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1   | 2023-11-24T16:48:31.979+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
a433-microservices-item-db-1   | 2023-11-24T16:48:31.985+0000 I NETWORK  [initandlisten] listening via socket bound to 0.0.0.0
a433-microservices-item-db-1   | 2023-11-24T16:48:31.989+0000 I NETWORK  [initandlisten] listening via socket bound to /tmp/mongodb-27017.sock
a433-microservices-item-db-1   | 2023-11-24T16:48:31.991+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
a433-microservices-item-db-1   | 2023-11-24T16:48:34.988+0000 I NETWORK  [listener] connection accepted from 172.21.0.3:48702 #1 (1 connection now open)
a433-microservices-item-db-1   | 2023-11-24T16:48:35.017+0000 I NETWORK  [conn1] received client metadata from 172.21.0.3:48702 conn1: { driver: { name: "nodejs", version: "2.2.36" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "5.15.133.1-microsoft-standard-WSL2" }, platform: "Node.js v14.0.0, LE, mongodb-core: 2.1.20" }
